author,comment,published_at
@strikesr5861,My new favorite  trailer🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😂,2024-05-17T13:35:11Z
@Bilski86,LFG,2024-05-17T11:34:35Z
@favianmagdaleno4780,U hirt my feeligs..i never got a gf...so I dont know..i am a energon Established personal person.,2024-05-17T08:34:01Z
@favianmagdaleno4780,Metroblechk,2024-05-17T08:32:43Z
@favianmagdaleno4780,Yesh...mountain view..el monte..Montebello..rosemead..sgv<br><br>..sb<br><br><br>Riverside..thats metrooblwchk,2024-05-17T08:32:21Z
@favianmagdaleno4780,I.m in metrovl3chk..<br>.u know the blue sky..that meteoblexkh,2024-05-17T08:31:31Z
@favianmagdaleno4780,Marvels passcode,2024-05-17T08:30:17Z
@favianmagdaleno4780,How did i opene it...easy..i unlocked the wolrd passcode..,2024-05-17T08:30:03Z
@favianmagdaleno4780,I op3ned marvel multi verse.<br><br>I have a energon and super nova...for help..,2024-05-17T08:29:33Z
@favianmagdaleno4780,Hey..I&#39;m In association with marvel...I became game 6 explpsions..and made this entrances party..get it..I bachelor&#39;s in computer animations..and made the basic movie my base and added with thevsame as I do.<br>In songs....same ..invisible technology..with alarms for perfection. <br>No bad .,2024-05-17T08:28:20Z
@ryanPual-ou7yu,Madonna Queen of pop,2024-05-17T07:31:41Z
@kewi2920,"Holy moly, I cant wait for this movie’s release",2024-05-17T06:49:21Z
@NotsoPerfect456,What if they enter in endgame☠️☠️☠️☠️💀💀💀👽💀,2024-05-17T06:02:19Z
@matthewkretschmer7010,Does anyone think that Hugh Jackman should take part in a Lord of the Rings movie or a movie relating to that franchise?,2024-05-17T05:01:14Z
@Magysh511,oh yeah YEP YEP its you,2024-05-17T04:29:21Z
@user-sk4gj3ji3o,Sounds good movie.  Very good audio visual,2024-05-17T04:14:30Z
@stormydavis8546,"Don&#39;t care about the language, or the universe jumping but the blood splatter is too much and all the &quot;4th wall break&quot; stuff has always been nonsense",2024-05-17T03:58:01Z
@funnyguy7574,Timeline : this must be 2007 after The Last Stand I think,2024-05-17T01:46:38Z
@sryxafraidofmonstersx,i think deadpool is ryan reynolds at his greatest and hugh jackman forget it nobody else now could ever be as solid a wokverine as him this is gonna be great,2024-05-16T23:35:50Z
@redmuskratt,Add a Spiderman and you have the best movie ever. All three sides of the mind.,2024-05-16T23:34:10Z
@LXW-Arts,Wolverine with small claws would be more biologically accurate and more practical.,2024-05-16T22:02:04Z
@D-MF-L,Can’t wait LFG,2024-05-16T20:44:28Z
@Isaacthebiggestmoviefan57,Super excited for this movie,2024-05-16T20:29:47Z
@ianbabcock6802,This is the first Marvel project I’m remotely interested in for a while.,2024-05-16T19:55:57Z
@michaelrealeyesisaiah8105,I still get chills everytime I watch this trailer 😢,2024-05-16T19:54:33Z
@angusg9454,This movie will be a success,2024-05-16T18:21:42Z
@Jaiveer101,դեյտերիում 🦍🦍🕉️🦍💩🦍💩🦍💩🦍💩🦍💩🦍💩🦍 2078?¡?¿,2024-05-16T18:01:41Z
@thunderrain922,FINALLY: The Wolverine we always wanted! At least from the trailer. All these years and being that Hugh    is the perfect actor for Wolverine. They never presented him in true form. To paraphrase; They have always &quot;whisky d*ked&quot; the use of his claws in every film! No real grit. Hoping this movie changes that. We need more Wolverine movies Hugh. The ones where Wolverine isn&#39;t held back from hacking off a villan&#39;s limb in a movie.,2024-05-16T14:57:26Z
@PeterParker-ff7ub,Not a good idea.,2024-05-16T14:31:08Z
@Tezuka_sensei,deadpool look awful with hair.,2024-05-16T07:30:22Z
@keentan2896,"After his depression in Logan and then this….man, Wolverine can’t catch a break",2024-05-16T07:24:50Z
@AymanAli-mk1dv,They make the best movies,2024-05-16T06:40:13Z
@juanluisgomezregalado6434,"For once, A MARVEL / DISNEY movie that looks OK.",2024-05-16T06:20:47Z
@johntescott8004,Wolverine  so watered down and 2 much profanity,2024-05-16T04:45:46Z
@soundtrackproduction4164,Honestamente no me gusto y soy fan ✋️🙂‍↕️,2024-05-15T23:43:19Z
@Rasim98,Deadpool and wolverine going on a family friendly adventure together to learn the power of friendship,2024-05-15T22:41:45Z
@jakeshaw1661,"I’m glad to see more mcu stuff being incorporated into their more ‘standalone’ movies, like the tva.",2024-05-15T21:04:02Z
@LEo_JOGa7,Deadpool and wolverine<br>The saviors of the MCU multiverse,2024-05-15T20:44:46Z
@jessereuss0716,I hope Hulk is in this,2024-05-15T17:46:45Z
@lordgonk4425,What does LFG mean?,2024-05-15T17:38:42Z
@matthewlee2712,So we all see the X-men characters from all da movies in from of the gaint man helmet,2024-05-15T16:48:05Z
@chrisnotyou,I&#39;m gonna pirate this so hard.,2024-05-15T15:30:36Z
@Foxy_Freddy149,Is that the ant man&#39;s head 😢,2024-05-15T13:17:25Z
@user-gr2yk2sr6d,جميل جدا,2024-05-15T13:06:18Z
@omarsaad19,جميل,2024-05-15T13:02:26Z
@AzmyAlmzin,جميل جدا ورائع ❤,2024-05-15T12:56:18Z
@user-tk5ck4vl6u,جميل جدا فلم رائع للمتابعه في سهرت المساء,2024-05-15T12:41:58Z
@Abdallahzreigat,I liked this movie so much,2024-05-15T11:32:19Z
@khang.ngtr487,DP3&#39;s gonna pass $1B for sure. I&#39;m so hyped.,2024-05-15T08:34:19Z
@miekwavesoundlab,What happened to the funny guy with the glasses?,2024-05-15T07:23:39Z
@g_rammstein,Now let&#39;s watch it again at .25x speed,2024-05-15T06:26:21Z
@RicklessSanchez,As marvel entertainment fan <br><br>All because iron man started this I mean 2008 to 2024? Wow I old.,2024-05-15T05:52:12Z
@chatanuga3022,Doctor strange with the portal ?,2024-05-15T03:03:11Z
@cbravo5977,"extraordinaria, asombrosa,",2024-05-15T02:06:35Z
@a-b0t633,They said a swear word.,2024-05-15T01:23:32Z
@mikerosay970,Stopped on the second one,2024-05-15T01:07:18Z
@davinalopez-oz1ez,another flop,2024-05-14T22:39:14Z
@user-gc6wi2zw6w,WE FINALLY HAVE WOLVERINE IN HIS SUIT BUT WITHOUT THE MASK?!?!!!!🤬,2024-05-14T21:46:49Z
@kardaine29,I better not die before I get to see this lolol,2024-05-14T21:23:25Z
@thecianinator,&quot;Liefeld&#39;s Just Feet&quot; 🤣🤣💀,2024-05-14T20:12:07Z
@0daypro878,Bro is about to Revive the entire MCU like 90&#39;s,2024-05-14T17:44:16Z
@Doomslayerkicksass,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=122"">2:02</a>",2024-05-14T17:34:48Z
@derenmewyim1738,Welcome back Wolverine 🎉❤,2024-05-14T13:51:47Z
@giin97,"Aight, I give up; articles are all about Hemsworth not knowing he was in this trailer. Where is he?",2024-05-14T13:21:41Z
@user-qt7zu1er7z,Q: Are there 2 versions of the TVA in this movie? <br>The group that&#39;s working with Deadpool vs the ones that tried to prune him?,2024-05-14T12:38:33Z
@cody4895,"I had a thought, about in the end credits cutscene. I want Deadpool to release a friend turned rat into Scott Langs van. That&#39;d be cool lol",2024-05-14T11:35:09Z
@marinodirs3565,"LFG, secret buy BTC signal <a href=""UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx""></a>",2024-05-14T09:38:19Z
@Walterwhite-uc1tk,I am soaking wet right now 😂,2024-05-14T07:45:32Z
@katarzynacibor9321,Okay!... so In deadpool 4 i want to see spiderman,2024-05-14T07:38:38Z
@RAJAT_SHETTY,Deadpool : Let&#39;s f*<b>**</b> go!<br><br>Wolverine : Let&#39;s f*<b>**</b> go!<br><br>The fans : Let&#39;s f*<b>**</b> go!,2024-05-14T07:35:28Z
@El-Duderino-His-Dudeness,"They absolutely better make some meta reference to X-Men Origins Wolverine&#39;s Deadpool again, I know they&#39;ve already done it, but now we have Hugh Jackman facing off against another Deadpool.",2024-05-14T06:06:53Z
@jasonurquiola7544,Who has watched this more than once,2024-05-14T05:47:54Z
@millennial_fairy,I&#39;m also looking forward to  all the fourth wall breaking that Deadpool is known for lol 😂,2024-05-14T05:23:05Z
@millennial_fairy,"We&#39;ve all been waiting for this! 🦾🔥 The Wolverine &amp; Deadpool team-up we deserve, unlike that 2009 travesty! Even Ryan Reynolds and Deadpool couldn&#39;t stand it lol. 😂 This third movie looks absolutely riveting and hilarious! 🎬 Can&#39;t wait to catch it in theaters when it drops this July! 🍿",2024-05-14T05:21:23Z
@fazlijaaffar3681,Wolverine &amp; Deadpool in Original Timeline: enemies⚔️💀<br><br>Wolverine &amp; Deadpool in Alternate Timeline: team up🗡️🤝,2024-05-14T04:54:51Z
@Whichisthematch,LFG!!!!!,2024-05-14T04:51:03Z
@vladydaddy9116,&lt;3 remember these?,2024-05-14T04:35:54Z
@peterscoop2647,I really hope its not all comedy but a little serious like the trailer,2024-05-14T03:38:25Z
@MixContent222,Am suggesting to stop doing more than one trailer unless u wants us to watch the last three minutes of the movie in theater&#39;s,2024-05-13T22:33:57Z
@kylea8795,Anyone else wonder at the end of the movie a suspicious box is given to Wade with a note saying welcome to the MCU and happy birthday from Kevin F.  And in the box is a huge brick of cocaine?😂,2024-05-13T21:45:26Z
@maxmancz8667,I’m happy that Wolverine is back. Even tho his story was finished (I know this is a different Wolverine).,2024-05-13T20:52:13Z
@NathanMartins-bt7vy,Congratulations,2024-05-13T20:29:18Z
@austinjesse6766,THE STORE IS NAMES LIEFIELD&quot;S,2024-05-13T18:46:19Z
@SriyansQuandaliusJefferyson,aint no way sissy marvel used the f bomb,2024-05-13T16:05:31Z
@KingKsEDC,Looks awful. This makes me so sad.,2024-05-13T15:45:42Z
@swanboyproductions,"I’m gonna go ahead and say it, I like the wolverine without any shoulder pads and sleeves, I don’t think it would look badass to me plus the shoulder pads with no sleeves is comic accurate yes but I bet wolverine didn’t like them and it just kinda looks better",2024-05-13T14:46:53Z
@tragekassassin878,We haven’t been this ready since Endgame. Let’s Fkn Go!!!,2024-05-13T13:08:05Z
@blockheads5872,the movie is yet to be rated 😂,2024-05-13T09:57:50Z
@brian6391,YEEEEEES!!!!,2024-05-13T09:35:46Z
@BigBoss-zi5ss,Isn&#39;t Deadpool somehow related to Wolverine now that he has his DNA in him?? I was gonna say his son but obviously Wade Wilson&#39;s father was not Logan,2024-05-13T06:57:19Z
@carolitavalencia,Madonna 🔥🔥🔥🔥🔥,2024-05-13T02:54:10Z
@8andimpala,I legit might be more excited for this fuckin movie than any other movie EVER!!,2024-05-13T02:30:23Z
@anvar8232,Is to be the highest-grossing movie of 2024!,2024-05-13T01:12:21Z
@Michenseki,Hugh Jackman seems to look better as Wolverine as he gets older.,2024-05-13T00:50:13Z
@thedarknessunderneathpodca6366,"When are they gonna introduce my favorite villain, Stryfe, or Omega Red, T-Ray and Mr. Sinister?",2024-05-13T00:37:06Z
@TheLoggic,2024 the mutant&#39;s year for sure,2024-05-13T00:10:16Z
@jarvissledge2530,Let&#39;s f go im there,2024-05-12T23:55:16Z
@jjcooney9758,LFG!,2024-05-12T23:08:35Z
@jjcooney9758,"Let’s $&amp;,king go!!!!! Ryan/Huge ftw! Thank you Kevin!!!!!!",2024-05-12T23:08:14Z
@dogbit3art903,Looks lame. Hope it&#39;s better than why they seem to be teasing,2024-05-12T22:24:44Z
@abdelrahmanahmedabdelaziz3752,"I&#39;m not worried about this one but not gonna spend money on it I&#39;ll wait until it&#39;s on the internet, i can&#39;t trust Marvel or Disney<br>What I&#39;m worried about maybe not worried I&#39;m used to it right now, does anyone know how many bad movies and TV shows we&#39;ll be stuck with until the next good watchable movie 😂",2024-05-12T21:54:55Z
@joshuaayala3660,BRUCE WAYNE AND JAMES GORDON 2024<br>1. BRUCE WAYNE 2001 AGE:23<br>2. JAMES GORDON 1978 AGE:46<br>LIKE A PRAYER PERFORMED BY MADONNA,2024-05-12T21:47:26Z
@joshuaayala3660,DEADPOOL &amp; WOLVERINE 2024<br>1. WADE WILSON/DEADPOOL 1976 AGE:48<br>2. JAMES HOWLETT/WOLVERINE 1968 AGE:56,2024-05-12T21:43:37Z
@juliantorres2430,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=97"">1:37</a>",2024-05-12T21:33:46Z
@braydenr8338,was that a metal bender from fortnite? both these guys are from fortnite 😳,2024-05-12T21:25:58Z
@TomPeace-bk5nb,😅 I&#39;m making a superhero movie but I truly need your help marvel please help me I&#39;m form South Africa,2024-05-12T21:22:47Z
@adgdrgar,Is this the same bar where he told Prof X and Magneto to go f*ck themselves?,2024-05-12T21:03:54Z
@adgdrgar,"It&#39;s bad when you have to use the search term official, to get past all the click bait fan edits.",2024-05-12T21:01:58Z
@salvidruto,"Dubbing me hagna mat kehna band kar Diya to firse ghatiya dubbing chalu kar dia , kitni baar bolna padega re , dubbing me hagna mat. Dubbing kahi ka bhi ho , koi kitna bhi popular kyun na ho , ek pro level dubbing Hindi me mangta.",2024-05-12T19:32:34Z
@moniqrupley6019,Al with the cocaine jokes.  Timeless.,2024-05-12T19:29:56Z
@boston_jorge,Wolverine was always thy XMan,2024-05-12T18:40:41Z
@bighec1996,Why is he not wearing his mask 😭😭😭,2024-05-12T18:30:36Z
@greenenergysolarsolutions872,I remember wanting this really bad but i dont care anymore. I cant remember the plot for most of the xmen &amp; wolverine movies. It’s been a while,2024-05-12T18:14:27Z
@kiltedkiller8178,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=122"">02:02</a> <a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=130"">02:10</a>",2024-05-12T17:10:14Z
@brandonjones9998,"This is your daily reminder to ALL parents that want to take their children to see this - this is NOT your basic Marvel movie. This is not some Marvel movie you take your little Jimmy to see simply because it has the Marvel Studios logo on it. This is an R rated, extreme action and strong profane superhero movie with graphic violence and strong language and nudity. So don’t complain about it and throw fits when you find out it’s R cause this trailer clearly shows that.",2024-05-12T16:45:41Z
@lavahot518,Look lady I’m not interested…. Best line 😅,2024-05-12T15:11:55Z
@JoRoWi83,All started when I was 17… here we go again and I’m 41,2024-05-12T15:10:09Z
@user-ub1ui3yx3c,"You were an X-men,<br>You were the X-Men.",2024-05-12T14:22:46Z
@Bk77183,Yay a proper looking rated R film between these 2.<br>About time snowflake disney made a rated r one for the guys.,2024-05-12T11:14:03Z
@ArdianHasan_official,who&#39;s excited for Wolverine return ✋?😤,2024-05-12T09:52:01Z
@skylargreenlee01,"Deadpool &amp; Wolverine (2024) <br>Director: Shawn Levy <br>Filming Dates: May 22, 2023 - January 24, 2024 <br>Release Date: July 26, 2024 <br>MPAA Rating: R [Restricted] <br>Runtime: TBA <br>Studio: Marvel Studios (Disney)",2024-05-12T09:48:38Z
@marslindon5203,Finally ❤❤🤌🤌🤌🤌🤌,2024-05-12T09:38:04Z
@captaincrumpeto6302,We’re all soaking wet right now.,2024-05-12T08:09:36Z
@user-qo5kk5fx2h,I still think of Kurt Russell as Wolverine no matter how old he is(sorry not sorry).,2024-05-12T06:52:54Z
@TITAN_FF_155,Just two days before my birthday,2024-05-12T06:38:03Z
@user-uu9cg4uj9y,"Finally, a new marvel movie I can get behind. its been a long time since I&#39;ve actually been exited about something they are putting out.",2024-05-12T06:24:25Z
@oafee,Crazy this dude is still a believable wolverine,2024-05-12T06:09:38Z
@liquel1603,"The 55 year old Hugh now looks like the comic book wolverine. Its not the suit, but the demeanor and of course his aging is like the wolverine character we know.",2024-05-12T05:38:51Z
@mattfrom95,L F G,2024-05-12T04:19:28Z
@daystoppol1592,This M&amp;M&#39;s  commercials are getting over the top !,2024-05-12T03:40:29Z
@usmang55,Good movie for high school kids,2024-05-12T02:41:39Z
@earlhaslbaak5102,This is not a good movie is a great movie 😊<br> <br><br>A K A  a reference of the movie free guy <br>Guy catshfresh dont have a good day have a great day😅,2024-05-12T02:03:57Z
@mrpowerhousetv5572,🔥🔥,2024-05-12T01:08:40Z
@sethparksion3534,I am soaking wet right now,2024-05-12T01:03:28Z
@roberthodges3984,Did he say Foggy or Feige???,2024-05-12T00:26:12Z
@adrianmoreno696,"Deadpool is the hero that Marvel doesn&#39;t deserve, but that it needs.",2024-05-11T23:52:33Z
@ashon8698,Unless you wanna take a deep breath through your forehead lmao,2024-05-11T23:45:47Z
@optimisticbear9617,We&#39;re so back,2024-05-11T22:57:59Z
@user-ff1eg3mp5x,Anyone wanna hear a fanfic idea?,2024-05-11T20:19:43Z
@MarioMartinez-iy1og,This is going to be epic.,2024-05-11T19:43:36Z
@Luifas0001,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=55"">0:55</a>",2024-05-11T19:38:42Z
@Luifas0001,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=55"">0:55</a> Spider-Man",2024-05-11T19:38:16Z
@Kafiunchahi,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=94"">1:34</a> I just feel like in the actual movie were getting a scene with the claws coming out while Logan wears the mask. And it&#39;s going to amazing.",2024-05-11T19:10:47Z
@TheIncredibleDanny,Im so hyped for this mcu film<br>😊,2024-05-11T18:50:06Z
@sarveshghildiyal9365,cometh <br>&quot;the REbirth of MCU&quot;,2024-05-11T18:41:24Z
@Tsukiyori9,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=122"">2:02</a> is that the actor who stared in Split?",2024-05-11T17:54:56Z
@ShishupalYadav-im1ez,Wow Deadpool,2024-05-11T16:21:28Z
@vtthuyyy,who open the portal???,2024-05-11T16:19:08Z
@nothing8900,so good to see wolverrine after i saw his death in LOGAN,2024-05-11T13:45:25Z
@user-th5dr4ih3q,"At this <a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=114"">1:54</a> point has anyone one of you notice that&#39;s the Hot Rod of Tony&#39;s one of the Cars Collection and The logo of Iron Man on it ✌️🔥",2024-05-11T13:40:18Z
@666hellviewlane,Reynolds knows good music and what fits in his movies and trailers to get the right pop,2024-05-11T12:06:32Z
@bert9744,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=57"">0:57</a> 😢",2024-05-11T10:52:49Z
@Hero87,Wow Madonna Like a Prayer! love it,2024-05-11T10:17:20Z
@sompongsadangritcat7789,X-men 2000,2024-05-11T08:37:04Z
@DeepbloodFang,"Mustard and Ketchup, my 2 favorite hot dog toppings.",2024-05-11T08:27:52Z
@abhinayamarykoshy1264,Who&#39;s the lady who controls Wolverine &#39;s blades? Magneto&#39;s daughter?,2024-05-11T08:09:02Z
@abhinayamarykoshy1264,"Yeah, finally!!!",2024-05-11T08:08:23Z
@Sqonqonqo,Theeeee X men,2024-05-11T07:34:31Z
@renegadedicebag1065,Bruh they got my wolverine in yellow and blue with no sleeves? I shoulda worn my white pants!,2024-05-11T06:54:25Z
@alexstanley2287,This trailer was better than I expected and I love the Marvel studios logo over the title.,2024-05-11T06:14:42Z
@fghbvfgyhujk1451,"Calling it now, this movie is going to disappoint. It will be flawed, basic, and annoying at times. I guarantee you, despite a few &quot;cool/viral scenes&quot;, it will cement the slow decline of the franchise in terms of storytelling, dark humor, and wtf factor. This will easily rank as the worst movie in the franchise - both in terms of audience ratings and financial performance. 100% guaranteed on 5/11/24.",2024-05-11T06:06:17Z
@fghbvfgyhujk1451,This looks boring.,2024-05-11T05:52:26Z
@Wretchd,Cant believe we got deadpool 3 before GTA-6,2024-05-11T05:42:15Z
@IanThu0,Release date please!!!,2024-05-11T04:15:24Z
@blackdiamonds853,&quot;YES..but we can&#39;t&quot;😂😂😂,2024-05-11T04:14:59Z
@dp87479,The only marvel movie I’ve wanted to watch since endgame,2024-05-11T02:05:04Z
@funnyguy7574,Two billion dollar box office calling it,2024-05-11T01:29:01Z
@moiseselizondo1917,"Wolverine I love you ❤️, to me your hero, always and forever",2024-05-11T00:48:37Z
@nlnrose,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=90"">1:30</a> Liefeld&#39;s Lost Feet!!!! I just about died laughing.",2024-05-11T00:35:04Z
@dreiconceja1745,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=140"">2:20</a> she look like a little bit Russell Adler from cod",2024-05-11T00:18:39Z
@LifeofWubba,Their jumping into a multiverse portal toward the end of ghe film,2024-05-10T23:02:16Z
@catherinemckenney6317,😂❤HUGH JACKMAN CAN PARK His SHOES UNDER My BED ANYTIME! I DON&#39;T CARE How OLD HE IS!!!🤠👍🥰🥰🥰🥰,2024-05-10T22:51:18Z
@AP-ce6jx,Whats the name of this song?,2024-05-10T22:50:47Z
@jedi1967,"At <a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=126"">2:06</a> If you go at 0.25 of a second speed there is an elbow appearing in front of Deadpool&#39;s forehead and some hair. That is Jennifer Garner&#39;s, Elektra.",2024-05-10T21:58:23Z
@JP.8494,I don&#39;t like it,2024-05-10T20:10:28Z
@user-tn3fe9jb9f,Is that ant man?,2024-05-10T19:56:08Z
@minetemxxx58,Tom Wambsgans was promoted from Waystar Royco CEO to superheroes management?,2024-05-10T19:22:43Z
@Magni81,LFG,2024-05-10T19:19:59Z
@Meshal11YouTube15,You Have 2 Questions!!!!! <br><br><br><br>1. What Phone Numbers for Disney Plus? <br>2. What Phone Numbers for Hulu?,2024-05-10T18:56:09Z
@lukesvideogameletsplays4416,He let down his entire world? Is this tied to the original x men movies or is this a multiverse wolverine 😂,2024-05-10T18:13:34Z
@ngukugibril6441,LFG😊,2024-05-10T18:03:32Z
@knagen,I still cant understand how perfect of a match Ryan is as Deadpool,2024-05-10T16:46:32Z
@allenallen1521,LFG!!!!!!!!!!,2024-05-10T11:54:39Z
@randomguy-re7mi,The should do the neyo closer dance meme with that bald lady,2024-05-10T11:31:13Z
@a_loki_fan,"2 There is a lot of mystery in the trailer, someone said to me, &quot;There is music from the Loki series in a trailer&quot;, is it true? And I&#39;m sure the movie will be great. They&#39;re going to TVA, will we see Loki? I&#39;m looking forward to the movie...",2024-05-10T10:54:56Z
@ThatFanBoyGuy,&quot;You can&#39;t put a live action Wolverine in his classic costume. It no longer looks cool!&quot;<br>Thank you for proving them wrong.,2024-05-10T10:08:59Z
@andrewdavies9236,Welcome back the feeling of being completely hyped about an upcoming Marvel project again.,2024-05-10T09:53:48Z
@rubygillman2077,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=126"">2:06</a>",2024-05-10T08:45:42Z
@Blangkonan1993-hh9ki,🇮🇩,2024-05-10T08:18:42Z
@matthewmcnerlin231,No-one talking about Cassandra ?! Did the biggest enemy of the xmen kill them?,2024-05-10T07:08:27Z
@cheyenne_skie,Vanessa? <br>Is it because of the time travelling?,2024-05-10T05:37:03Z
@paulkiely5256,Give me one more drink,2024-05-10T01:49:01Z
@user-jy5fq1ih8b,I bet in the last part it&#39;s doctor strange saying &quot;who the $%% and the movie just ends,2024-05-10T01:48:36Z
@user-jy5fq1ih8b,It doctor strange,2024-05-10T01:47:16Z
@Pangwang02,"how does no one see that peters back, from X force",2024-05-10T01:45:37Z
@japhetfusum8425,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=44"">0:44</a> got serious REAL QUICK! Might cry when i watch this one",2024-05-10T01:37:33Z
@seanalen,My biggest question has been answered. What does the backside of Doctor Strange’s portal look like?,2024-05-10T01:15:07Z
@AyaanKhan-kx7nx,This one is going to be Epic!! 🔥🤘🏻💯.,2024-05-10T00:08:19Z
@rogueguardian,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=118"">1:58</a> if Shawn Levy&#39;s intention was to remind me of mad max then well done. God I&#39;m pumped.",2024-05-09T22:25:16Z
@dheerajbhardwaj7721,why the looks of Marvel turning into dc,2024-05-09T22:21:48Z
@420_Emissary,Let&#39;s f**king go!!,2024-05-09T22:02:13Z
@MahdiEmad680,But Wolverine is dead in logan (2017) movie how he came back to life????,2024-05-09T21:27:54Z
@andrewjelen1810,"It&#39;s surreal, yet amazing how Hugh Jackman got to wear the classic Wolverine suit after 24 years.",2024-05-09T21:22:56Z
@TheMiraculousVillain,"I love how after wish, Disney is letting creatives cook instead of pressuring them to rush the process in order to get to the next thing for their streaming service",2024-05-09T20:12:07Z
@juliosvideos,this is my new favorite mcu trailer,2024-05-09T19:24:02Z
@hannacastMAKEUP,"WHY AM I EXCITED??? I’ll tell YOU WH,<br><br>FKIN WOLVERINE LETS FKIN GOOOOO",2024-05-09T18:41:18Z
@carltonmanoxide6268,Maximum Effort!!!!!!!!❤,2024-05-09T18:32:24Z
@emmon5377,It&#39;s going to be a huge flop. Hugh Jackman won&#39;t save this. Brie Larson killed MCU.,2024-05-09T18:25:46Z
@varunsrinidhi4747,Maximum effort,2024-05-09T17:40:05Z
@sinatra1,I got told by my source is <br>Deadpool is gonna be in this movie. Please keep this as a hush whoever sees this,2024-05-09T16:48:27Z
@alexandersen1072,There&#39;s something about 80s music that goes so well with action scenes lol,2024-05-09T16:35:46Z
@SamFromSolitude,"How poetic it is that both Deadpool movies start with him talking about Wolverine in some capacity, and he finally gets to hang out with him here, and with his mouth intact this time.",2024-05-09T16:17:29Z
@7d45bramheshnevase6,We were waiting for Deadpool vs wolverine not for this,2024-05-09T15:23:25Z
@JiNXX9500,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=80"">1:20</a> Liefeld&#39;s Just Feet 😂",2024-05-09T15:03:26Z
@atif7275,Heyy was that Antmans Mask??,2024-05-09T14:36:23Z
@bankrollswol9320,😂😂😂 hughe jackman gotta be 60,2024-05-09T14:25:51Z
@cabellero1120,"The producers waited too long to make another sequel.<br>Six years...<br><br>Reynolds has stated this is his last time as DP.<br><br>The First 2 movies did something different, a super hero film that went its own way, outside of the &quot; hero trope&quot; box....<br><br>This film seems to conform to the same trope formula it was rebelling against...<br><br>Deadpool didn&#39;t need a &quot; side kick&quot; or Any help.<br><br>He didn&#39;t need or want to join the X Men!<br><br>Deadpool with Hulk or Captain America  would have been bigger!<br><br>Deadpool vs Venom or Morbius would have been cool..<br><br>Why DP and Wolverine??<br><br>Anyway, I probably won&#39;t pay to see this since it will be on demand by mid summer.",2024-05-09T13:51:53Z
@reganator5000,"That intro is so much the more poignant because i&#39;ve seen guys like that, and they were presumably not able to heal all wounds within seconds. &#39;just one more drink, then i&#39;ll go home&#39; bouncer comes to kick them out, and it&#39;s the threat of a fight makes it the happiest you&#39;ve seen them all year (to paraphrase a different thing &#39;I want to hurt someone. Myself, probably&#39;)<br>Even the &#39;you don&#39;t want this&#39; warning - a bad drunk who knows they&#39;re about to fight, and knows it&#39;s wrong, so gives a warning, just to make sure everyone knew they were okay being hauled out by the police after trying to headbutt security. Probably wanting the warm safe bed that comes with a cell",2024-05-09T13:16:13Z
@jacobfausnight1180,About to be the best movie since No Way Home,2024-05-09T12:54:27Z
